;precip;proba_precip;temp_min;temp_max;etp;date
0;0.0;10;5;15;2;2022-03-21T01:00:00+0100
1;0.0;0;3;14;2;2022-03-22T01:00:00+0100
2;0.0;0;4;14;2;2022-03-23T01:00:00+0100
3;0.0;0;5;16;2;2022-03-24T01:00:00+0100
4;0.0;10;4;15;3;2022-03-25T01:00:00+0100
5;0.0;20;4;15;3;2022-03-26T01:00:00+0100
6;0.0;50;4;16;2;2022-03-27T01:00:00+0100
7;1.0;60;5;15;2;2022-03-28T02:00:00+0200
8;1.4;60;5;13;2;2022-03-29T02:00:00+0200
9;4.4;60;4;11;2;2022-03-30T02:00:00+0200
10;8.0;60;3;10;2;2022-03-31T02:00:00+0200
11;5.6;60;2;9;2;2022-04-01T02:00:00+0200
12;6.4;60;3;10;2;2022-04-02T02:00:00+0200
13;8.0;60;4;11;2;2022-04-03T02:00:00+0200
