;date;precip;etp;temp
0;2022-03-21T00:00;0;0.02;8.1
1;2022-03-21T01:00;0;0.02;8.2
2;2022-03-21T02:00;0;0.02;7.8
3;2022-03-21T03:00;0;0.01;7.7
4;2022-03-21T04:00;0;0.01;8.3
5;2022-03-21T05:00;0;0.02;8.0
6;2022-03-21T06:00;0;0.02;7.4
7;2022-03-21T07:00;0;0.02;6.7
8;2022-03-21T08:00;0;0.03;7.1
9;2022-03-21T09:00;0;0.06;8.6
10;2022-03-21T10:00;0;0.11;10.7
11;2022-03-21T11:00;0;0.17;12.3
12;2022-03-21T12:00;0;0.22;13.9
13;2022-03-21T13:00;0;0.26;15.0
14;2022-03-21T14:00;0;0.27;15.6
15;2022-03-21T15:00;0;0.25;15.7
16;2022-03-21T16:00;0;0.23;15.9
17;2022-03-21T17:00;0;0.2;15.5
18;2022-03-21T18:00;0;0.12;14.3
19;2022-03-21T19:00;0;0.04;12.0
20;2022-03-21T20:00;0;0.02;10.2
21;2022-03-21T21:00;0;0.01;9.2
22;2022-03-21T22:00;0;0.01;8.4
23;2022-03-21T23:00;0;0.01;7.7
24;2022-03-22T00:00;0;0.01;7.2
25;2022-03-22T01:00;0;0.01;6.6
26;2022-03-22T02:00;0;0.01;5.7
27;2022-03-22T03:00;0;0.01;5.2
28;2022-03-22T04:00;0;0.0;4.8
29;2022-03-22T05:00;0;0.0;4.4
30;2022-03-22T06:00;0;0.0;4.3
31;2022-03-22T07:00;0;0.01;5.0
32;2022-03-22T08:00;0;0.02;6.3
33;2022-03-22T09:00;0;0.07;8.3
34;2022-03-22T10:00;0;0.11;10.3
35;2022-03-22T11:00;0;0.16;12.2
36;2022-03-22T12:00;0;0.22;13.5
37;2022-03-22T13:00;0;0.26;14.3
38;2022-03-22T14:00;0;0.27;14.8
39;2022-03-22T15:00;0;0.26;15.0
40;2022-03-22T16:00;0;0.23;14.8
41;2022-03-22T17:00;0;0.18;14.3
42;2022-03-22T18:00;0;0.11;13.3
43;2022-03-22T19:00;0;0.04;10.7
44;2022-03-22T20:00;0;0.02;8.8
45;2022-03-22T21:00;0;0.01;7.6
46;2022-03-22T22:00;0;0.01;7.1
47;2022-03-22T23:00;0;0.01;6.5
48;2022-03-23T00:00;0;0.01;5.8
49;2022-03-23T01:00;0;0.01;5.6
