;precip;proba_precip;temp_min;temp_max;etp;date
0;0.0;0;3;14;2;2022-03-22 01:00:00+01:00
1;0.0;0;3;15;2;2022-03-23 01:00:00+01:00
2;0.0;0;5;16;2;2022-03-24 01:00:00+01:00
3;0.0;0;5;16;2;2022-03-25 01:00:00+01:00
4;0.0;10;4;15;3;2022-03-26 01:00:00+01:00
5;0.0;40;4;16;3;2022-03-27 01:00:00+01:00
6;0.2;60;5;16;2;2022-03-28 02:00:00+02:00
7;1.4;60;6;14;2;2022-03-29 02:00:00+02:00
8;5.6;60;6;12;2;2022-03-30 02:00:00+02:00
9;9.0;60;5;10;2;2022-03-31 02:00:00+02:00
10;5.6;60;3;10;2;2022-04-01 02:00:00+02:00
11;6.4;60;4;11;2;2022-04-02 02:00:00+02:00
12;6.4;60;5;12;2;2022-04-03 02:00:00+02:00
13;7.0;60;6;12;2;2022-04-04 02:00:00+02:00
