,etp,date,precip,temp
0,0.01,2022-03-24 00:00:00,0.0,5.7
1,0.01,2022-03-24 01:00:00,0.0,5.1
2,0.0,2022-03-24 02:00:00,0.0,4.6
3,0.0,2022-03-24 03:00:00,0.0,4.9
4,0.0,2022-03-24 04:00:00,0.0,4.9
5,0.0,2022-03-24 05:00:00,0.0,3.9
6,0.0,2022-03-24 06:00:00,0.0,4.5
7,0.0,2022-03-24 07:00:00,0.0,3.2
8,0.01,2022-03-24 08:00:00,0.0,4.1
9,0.03,2022-03-24 09:00:00,0.0,7.6
10,0.1,2022-03-24 10:00:00,0.0,11.2
11,0.17,2022-03-24 11:00:00,0.0,14.1
12,0.25,2022-03-24 12:00:00,0.0,15.9
13,0.31,2022-03-24 13:00:00,0.0,16.8
14,0.32,2022-03-24 14:00:00,0.0,17.6
15,0.3,2022-03-24 15:00:00,0.0,18.0
16,0.28,2022-03-24 16:00:00,0.0,17.6
17,0.22,2022-03-24 17:00:00,0.0,17.1
18,0.1,2022-03-24 18:00:00,0.0,16.2
19,0.02,2022-03-24 19:00:00,0.0,13.5
20,0.01,2022-03-24 20:00:00,0.0,10.5
21,0.01,2022-03-24 21:00:00,0.0,8.7
22,0.0,2022-03-24 22:00:00,0.0,7.4
23,0.0,2022-03-24 23:00:00,0.0,6.7
24,0.0,2022-03-25 00:00:00,0.0,6.6
25,0.0,2022-03-25 01:00:00,0.0,6.1
26,0.0,2022-03-25 02:00:00,0.0,5.6
27,0.0,2022-03-25 03:00:00,0.0,5.4
28,0.0,2022-03-25 04:00:00,0.0,4.9
29,0.0,2022-03-25 05:00:00,0.0,4.2
30,0.0,2022-03-25 06:00:00,0.0,3.6
31,0.0,2022-03-25 07:00:00,0.0,3.8
32,0.0,2022-03-25 08:00:00,0.0,4.9
33,0.02,2022-03-25 09:00:00,0.0,8.4
34,0.1,2022-03-25 10:00:00,0.0,12.7
35,0.2,2022-03-25 11:00:00,0.0,14.5
36,0.27,2022-03-25 12:00:00,0.0,16.3
37,0.32,2022-03-25 13:00:00,0.0,17.2
38,0.34,2022-03-25 14:00:00,0.0,17.7
39,0.33,2022-03-25 15:00:00,0.0,17.8
40,0.28,2022-03-25 16:00:00,0.0,17.6
41,0.22,2022-03-25 17:00:00,0.0,17.0
42,0.15,2022-03-25 18:00:00,0.0,15.5
43,0.06,2022-03-25 19:00:00,0.0,13.6
44,0.03,2022-03-25 20:00:00,0.0,12.0
45,0.02,2022-03-25 21:00:00,0.0,11.0
46,0.02,2022-03-25 22:00:00,0.0,10.0
47,0.01,2022-03-25 23:00:00,0.0,9.3
48,0.01,2022-03-26 00:00:00,0.0,8.0
49,0.0,2022-03-26 01:00:00,0.0,6.8
50,0.0,2022-03-26 02:00:00,0.0,5.5
51,0.0,2022-03-26 03:00:00,0.0,5.6
52,0.0,2022-03-26 04:00:00,0.0,5.1
53,0.0,2022-03-26 05:00:00,0.0,5.2
54,0.0,2022-03-26 06:00:00,0.0,5.1
55,0.0,2022-03-26 07:00:00,0.0,4.9
56,0.01,2022-03-26 08:00:00,0.0,5.8
57,0.03,2022-03-26 09:00:00,0.0,9.9
58,0.1,2022-03-26 10:00:00,0.0,12.4
59,0.17,2022-03-26 11:00:00,0.0,14.4
