,etp,temp,precip,date
0,0.01,9.4,0.0,2022-03-24 00:00:00
1,0.0,9.1,0.0,2022-03-24 01:00:00
2,0.0,9.1,0.0,2022-03-24 02:00:00
3,0.0,8.6,0.0,2022-03-24 03:00:00
4,0.0,7.9,0.0,2022-03-24 04:00:00
5,0.0,7.5,0.0,2022-03-24 05:00:00
6,0.0,7.2,0.0,2022-03-24 06:00:00
7,0.0,6.3,0.0,2022-03-24 07:00:00
8,0.0,7.1,0.0,2022-03-24 08:00:00
9,0.02,9.3,0.0,2022-03-24 09:00:00
10,0.08,12.3,0.0,2022-03-24 10:00:00
11,0.14,14.0,0.0,2022-03-24 11:00:00
12,0.18,15.1,0.0,2022-03-24 12:00:00
13,0.21,15.7,0.0,2022-03-24 13:00:00
14,0.22,16.2,0.0,2022-03-24 14:00:00
15,0.21,16.4,0.0,2022-03-24 15:00:00
16,0.18,16.2,0.0,2022-03-24 16:00:00
17,0.14,15.7,0.0,2022-03-24 17:00:00
18,0.1,14.6,0.0,2022-03-24 18:00:00
19,0.04,12.4,0.0,2022-03-24 19:00:00
20,0.02,11.0,0.0,2022-03-24 20:00:00
21,0.01,10.5,0.0,2022-03-24 21:00:00
22,0.01,9.8,0.0,2022-03-24 22:00:00
23,0.01,8.8,0.0,2022-03-24 23:00:00
24,0.01,8.6,0.0,2022-03-25 00:00:00
25,0.01,8.3,0.0,2022-03-25 01:00:00
26,0.01,7.7,0.0,2022-03-25 02:00:00
27,0.01,7.5,0.0,2022-03-25 03:00:00
28,0.01,7.6,0.0,2022-03-25 04:00:00
29,0.01,7.2,0.0,2022-03-25 05:00:00
30,0.01,6.5,0.0,2022-03-25 06:00:00
31,0.01,6.5,0.0,2022-03-25 07:00:00
32,0.02,7.2,0.0,2022-03-25 08:00:00
33,0.04,9.5,0.0,2022-03-25 09:00:00
34,0.09,11.8,0.0,2022-03-25 10:00:00
35,0.15,13.3,0.0,2022-03-25 11:00:00
36,0.18,14.4,0.0,2022-03-25 12:00:00
37,0.2,15.6,0.0,2022-03-25 13:00:00
38,0.21,16.2,0.0,2022-03-25 14:00:00
39,0.21,16.3,0.0,2022-03-25 15:00:00
40,0.18,16.2,0.0,2022-03-25 16:00:00
41,0.14,15.7,0.0,2022-03-25 17:00:00
42,0.1,14.5,0.0,2022-03-25 18:00:00
43,0.05,12.1,0.0,2022-03-25 19:00:00
44,0.03,10.4,0.0,2022-03-25 20:00:00
45,0.03,9.4,0.0,2022-03-25 21:00:00
46,0.02,8.8,0.0,2022-03-25 22:00:00
47,0.02,8.2,0.0,2022-03-25 23:00:00
48,0.02,7.7,0.0,2022-03-26 00:00:00
49,0.01,7.4,0.0,2022-03-26 01:00:00
50,0.01,7.2,0.0,2022-03-26 02:00:00
51,0.01,7.1,0.0,2022-03-26 03:00:00
52,0.02,7.2,0.0,2022-03-26 04:00:00
53,0.02,7.1,0.0,2022-03-26 05:00:00
54,0.02,6.7,0.0,2022-03-26 06:00:00
55,0.01,6.3,0.0,2022-03-26 07:00:00
56,0.02,7.5,0.0,2022-03-26 08:00:00
57,0.05,9.3,0.0,2022-03-26 09:00:00
58,0.09,11.1,0.0,2022-03-26 10:00:00
59,0.18,12.7,0.0,2022-03-26 11:00:00
60,0.23,13.9,0.0,2022-03-26 12:00:00
61,0.25,14.8,0.0,2022-03-26 13:00:00
62,0.26,15.4,0.0,2022-03-26 14:00:00
63,0.25,15.9,0.0,2022-03-26 15:00:00
64,0.22,16.0,0.0,2022-03-26 16:00:00
65,0.18,15.7,0.0,2022-03-26 17:00:00
66,0.12,14.8,0.0,2022-03-26 18:00:00
67,0.05,12.9,0.0,2022-03-26 19:00:00
68,0.02,11.2,0.0,2022-03-26 20:00:00
69,0.02,10.1,0.0,2022-03-26 21:00:00
70,0.01,10.0,0.0,2022-03-26 22:00:00
