;etp;date;temp;precip
0;0.01;2022-03-23 00:00:00;5.7;0.0
1;0.01;2022-03-23 01:00:00;4.9;0.0
2;0.01;2022-03-23 02:00:00;4.1;0.0
3;0.0;2022-03-23 03:00:00;3.6;0.0
4;0.0;2022-03-23 04:00:00;3.0;0.0
5;0.0;2022-03-23 05:00:00;3.2;0.0
6;0.0;2022-03-23 06:00:00;2.9;0.0
7;0.0;2022-03-23 07:00:00;2.0;0.0
8;0.01;2022-03-23 08:00:00;3.6;0.0
9;0.03;2022-03-23 09:00:00;6.7;0.0
10;0.11;2022-03-23 10:00:00;10.4;0.0
11;0.2;2022-03-23 11:00:00;12.6;0.0
12;0.27;2022-03-23 12:00:00;13.9;0.0
13;0.31;2022-03-23 13:00:00;15.6;0.0
14;0.3;2022-03-23 14:00:00;16.5;0.0
15;0.3;2022-03-23 15:00:00;16.5;0.0
16;0.27;2022-03-23 16:00:00;16.8;0.0
17;0.21;2022-03-23 17:00:00;16.2;0.0
18;0.13;2022-03-23 18:00:00;14.8;0.0
19;0.04;2022-03-23 19:00:00;12.1;0.0
20;0.02;2022-03-23 20:00:00;9.7;0.0
21;0.01;2022-03-23 21:00:00;7.9;0.0
22;0.01;2022-03-23 22:00:00;6.9;0.0
23;0.01;2022-03-23 23:00:00;6.5;0.0
24;0.01;2022-03-24 00:00:00;6.1;0.0
25;0.01;2022-03-24 01:00:00;5.7;0.0
26;0.0;2022-03-24 02:00:00;5.4;0.0
27;0.0;2022-03-24 03:00:00;6.4;0.0
28;0.0;2022-03-24 04:00:00;6.7;0.0
29;0.0;2022-03-24 05:00:00;5.3;0.0
30;0.0;2022-03-24 06:00:00;5.2;0.0
31;0.0;2022-03-24 07:00:00;5.6;0.0
32;0.0;2022-03-24 08:00:00;6.0;0.0
33;0.02;2022-03-24 09:00:00;8.2;0.0
34;0.09;2022-03-24 10:00:00;11.6;0.0
35;0.18;2022-03-24 11:00:00;14.4;0.0
36;0.26;2022-03-24 12:00:00;16.0;0.0
37;0.29;2022-03-24 13:00:00;17.0;0.0
38;0.31;2022-03-24 14:00:00;17.8;0.0
39;0.29;2022-03-24 15:00:00;18.4;0.0
40;0.26;2022-03-24 16:00:00;18.1;0.0
41;0.2;2022-03-24 17:00:00;17.7;0.0
42;0.14;2022-03-24 18:00:00;16.2;0.0
43;0.05;2022-03-24 19:00:00;13.7;0.0
44;0.02;2022-03-24 20:00:00;11.0;0.0
45;0.01;2022-03-24 21:00:00;9.1;0.0
46;0.01;2022-03-24 22:00:00;7.9;0.0
