date,temp,etp,precip
24-03-2022 00:00,3.4,0.0,0.0
24-03-2022 01:00,2.7,0.0,0.0
24-03-2022 02:00,2.3,0.0,0.0
24-03-2022 03:00,2.2,0.0,0.0
24-03-2022 04:00,1.7,0.0,0.0
24-03-2022 05:00,1.4,0.0,0.0
24-03-2022 06:00,1.4,0.0,0.0
24-03-2022 07:00,0.7,0.0,0.0
24-03-2022 08:00,2.4,0.0,0.0
24-03-2022 09:00,6.6,0.02,0.0
24-03-2022 10:00,10.7,0.08,0.0
24-03-2022 11:00,14.0,0.15,0.0
24-03-2022 12:00,16.2,0.22,0.0
24-03-2022 13:00,18.1,0.26,0.0
24-03-2022 14:00,18.5,0.26,0.0
24-03-2022 15:00,18.8,0.25,0.0
24-03-2022 16:00,18.9,0.22,0.0
24-03-2022 17:00,18.2,0.19,0.0
24-03-2022 18:00,16.7,0.11,0.0
24-03-2022 19:00,14.3,0.02,0.0
24-03-2022 20:00,11.3,0.0,0.0
24-03-2022 21:00,9.5,0.0,0.0
24-03-2022 22:00,7.2,0.0,0.0
24-03-2022 23:00,6.6,0.0,0.0
25-03-2022 00:00,5.8,0.0,0.0
25-03-2022 01:00,5.6,0.0,0.0
25-03-2022 02:00,5.5,0.0,0.0
25-03-2022 03:00,5.0,0.0,0.0
25-03-2022 04:00,4.2,0.0,0.0
25-03-2022 05:00,3.9,0.0,0.0
25-03-2022 06:00,3.2,0.0,0.0
25-03-2022 07:00,2.5,0.0,0.0
25-03-2022 08:00,3.1,0.0,0.0
25-03-2022 09:00,7.5,0.02,0.0
25-03-2022 10:00,11.2,0.08,0.0
25-03-2022 11:00,14.5,0.15,0.0
25-03-2022 12:00,16.1,0.21,0.0
25-03-2022 13:00,17.8,0.24,0.0
25-03-2022 14:00,18.4,0.27,0.0
25-03-2022 15:00,18.6,0.26,0.0
25-03-2022 16:00,18.4,0.23,0.0
25-03-2022 17:00,17.7,0.19,0.0
25-03-2022 18:00,16.1,0.13,0.0
25-03-2022 19:00,13.6,0.06,0.0
25-03-2022 20:00,10.9,0.02,0.0
25-03-2022 21:00,9.0,0.0,0.0
25-03-2022 22:00,8.4,0.0,0.0
25-03-2022 23:00,7.8,0.0,0.0
26-03-2022 00:00,7.0,0.0,0.0
26-03-2022 01:00,6.3,0.0,0.0
26-03-2022 02:00,5.2,0.0,0.0
26-03-2022 03:00,4.4,0.0,0.0
26-03-2022 04:00,4.2,0.0,0.0
26-03-2022 05:00,3.9,0.0,0.0
26-03-2022 06:00,3.5,0.0,0.0
26-03-2022 07:00,3.1,0.0,0.0
26-03-2022 08:00,4.2,0.0,0.0
26-03-2022 09:00,7.9,0.02,0.0
26-03-2022 10:00,11.9,0.08,0.0
26-03-2022 11:00,14.6,0.15,0.0
26-03-2022 12:00,16.7,0.21,0.0
26-03-2022 13:00,17.9,0.25,0.0
26-03-2022 14:00,18.1,0.24,0.0
26-03-2022 15:00,18.5,0.24,0.0
26-03-2022 16:00,18.5,0.21,0.0
26-03-2022 17:00,18.0,0.17,0.0
26-03-2022 18:00,16.9,0.11,0.0
26-03-2022 19:00,14.8,0.04,0.0
26-03-2022 20:00,12.6,0.01,0.0
26-03-2022 21:00,10.7,0.0,0.0
26-03-2022 22:00,9.7,0.01,0.0
26-03-2022 23:00,9.0,0.01,0.0
27-03-2022 00:00,7.9,0.0,0.0
27-03-2022 01:00,6.9,0.0,0.0
27-03-2022 02:00,5.8,0.0,0.0
27-03-2022 03:00,5.0,0.0,0.0
27-03-2022 04:00,4.3,0.0,0.0
27-03-2022 05:00,2.7,0.0,0.0
27-03-2022 06:00,1.8,0.0,0.0
27-03-2022 07:00,0.8,0.0,0.0
27-03-2022 08:00,2.3,0.0,0.0
27-03-2022 09:00,7.9,0.02,0.0
27-03-2022 10:00,12.3,0.08,0.0
27-03-2022 11:00,14.5,0.15,0.0
27-03-2022 12:00,16.2,0.19,0.0
27-03-2022 13:00,17.6,0.22,0.0
27-03-2022 14:00,18.5,0.23,0.0
27-03-2022 15:00,19.0,0.22,0.0
27-03-2022 16:00,19.1,0.19,0.0
27-03-2022 17:00,18.7,0.14,0.0
27-03-2022 18:00,17.9,0.08,0.0
27-03-2022 19:00,16.3,0.05,0.0
27-03-2022 20:00,14.6,0.03,0.0
27-03-2022 21:00,12.6,0.0,0.0
27-03-2022 22:00,10.0,0.0,0.0
27-03-2022 23:00,8.0,0.0,0.0
28-03-2022 00:00,6.0,0.0,0.0
28-03-2022 01:00,3.9,0.0,0.0
28-03-2022 02:00,3.0,0.0,0.0
28-03-2022 03:00,2.6,0.0,0.0
28-03-2022 04:00,2.2,0.0,0.0
28-03-2022 05:00,1.6,0.0,0.0
28-03-2022 06:00,0.9,0.0,0.0
28-03-2022 07:00,1.7,0.0,0.0
28-03-2022 08:00,4.6,0.01,0.0
28-03-2022 09:00,8.8,0.04,0.0
28-03-2022 10:00,13.8,0.08,0.0
28-03-2022 11:00,16.0,0.15,0.0
28-03-2022 12:00,17.7,0.21,0.0
28-03-2022 13:00,19.0,0.22,0.0
28-03-2022 14:00,19.5,0.23,0.0
28-03-2022 15:00,19.5,0.21,0.0
28-03-2022 16:00,18.9,0.18,0.0
28-03-2022 17:00,18.0,0.13,0.0
28-03-2022 18:00,16.9,0.07,0.0
28-03-2022 19:00,15.2,0.05,0.0
28-03-2022 20:00,13.8,0.03,0.0
28-03-2022 21:00,12.4,0.01,0.0
28-03-2022 22:00,10.7,0.0,0.0
28-03-2022 23:00,9.6,0.0,0.0
29-03-2022 00:00,8.7,0.0,0.0
29-03-2022 01:00,7.7,0.0,0.0
29-03-2022 02:00,7.1,0.0,0.0
29-03-2022 03:00,6.7,0.0,0.0
29-03-2022 04:00,6.1,0.0,0.0
29-03-2022 05:00,5.7,0.0,0.0
29-03-2022 06:00,5.4,0.0,0.0
29-03-2022 07:00,5.0,0.0,0.0
29-03-2022 08:00,8.6,0.01,0.0
29-03-2022 09:00,10.3,0.03,0.0
29-03-2022 10:00,12.5,0.06,0.0
29-03-2022 11:00,13.7,0.09,0.0
29-03-2022 12:00,14.8,0.13,0.0
29-03-2022 13:00,15.8,0.14,0.0
29-03-2022 14:00,16.2,0.15,0.0
29-03-2022 15:00,16.4,0.15,0.0
29-03-2022 16:00,16.1,0.13,0.0
29-03-2022 17:00,15.4,0.11,0.0
29-03-2022 18:00,14.5,0.08,0.0
29-03-2022 19:00,13.0,0.06,0.0
29-03-2022 20:00,11.7,0.04,0.0
29-03-2022 21:00,10.3,0.01,0.0
29-03-2022 22:00,8.6,0.01,0.0
29-03-2022 23:00,7.7,0.01,0.0
30-03-2022 00:00,7.0,0.01,0.0
30-03-2022 01:00,6.1,0.0,0.0
30-03-2022 02:00,5.2,0.0,0.0
30-03-2022 03:00,4.2,0.0,0.0
30-03-2022 04:00,3.2,0.0,0.0
30-03-2022 05:00,2.6,0.0,0.0
30-03-2022 06:00,2.2,0.0,0.0
30-03-2022 07:00,2.3,0.01,0.0
30-03-2022 08:00,3.3,0.01,0.0
30-03-2022 09:00,4.8,0.03,0.0
30-03-2022 10:00,6.7,0.05,0.0
30-03-2022 11:00,7.8,0.07,0.0
30-03-2022 12:00,8.6,0.09,0.0
30-03-2022 13:00,9.3,0.1,0.0
30-03-2022 14:00,9.4,0.1,0.0
30-03-2022 15:00,9.2,0.1,0.0
30-03-2022 16:00,8.6,0.09,0.0
30-03-2022 17:00,7.9,0.07,0.0
30-03-2022 18:00,6.9,0.05,0.0
30-03-2022 19:00,5.7,0.04,0.0
30-03-2022 20:00,4.8,0.03,0.0
30-03-2022 21:00,4.0,0.02,0.0
30-03-2022 22:00,2.9,0.02,0.0
30-03-2022 23:00,2.1,0.01,0.0
