,precip,proba_precip,temp_min,temp_max,etp,date
0,0.0,0,5,17,-99,2022-03-24 01:00:00+01:00
1,0.0,0,6,16,2,2022-03-25 01:00:00+01:00
2,0.0,0,5,16,2,2022-03-26 01:00:00+01:00
3,0.0,0,5,16,2,2022-03-27 01:00:00+01:00
4,0.0,30,5,16,3,2022-03-28 02:00:00+02:00
5,1.0,60,5,14,2,2022-03-29 02:00:00+02:00
6,6.9,60,4,10,2,2022-03-30 02:00:00+02:00
7,5.4,60,3,9,2,2022-03-31 02:00:00+02:00
8,3.0,60,1,8,2,2022-04-01 02:00:00+02:00
9,4.6,60,2,9,2,2022-04-02 02:00:00+02:00
10,3.8,60,3,11,2,2022-04-03 02:00:00+02:00
11,6.4,60,5,12,2,2022-04-04 02:00:00+02:00
12,8.0,60,6,12,2,2022-04-05 02:00:00+02:00
13,8.0,60,6,13,2,2022-04-06 02:00:00+02:00
