,etp,date,precip,temp
0,0.01,2022-03-23 00:00:00,0.0,5.7
1,0.01,2022-03-23 01:00:00,0.0,4.9
2,0.01,2022-03-23 02:00:00,0.0,4.1
3,0.0,2022-03-23 03:00:00,0.0,3.6
4,0.0,2022-03-23 04:00:00,0.0,3.0
5,0.0,2022-03-23 05:00:00,0.0,3.2
6,0.0,2022-03-23 06:00:00,0.0,2.9
7,0.0,2022-03-23 07:00:00,0.0,2.0
8,0.01,2022-03-23 08:00:00,0.0,3.6
9,0.03,2022-03-23 09:00:00,0.0,6.7
10,0.11,2022-03-23 10:00:00,0.0,10.4
11,0.2,2022-03-23 11:00:00,0.0,12.6
12,0.27,2022-03-23 12:00:00,0.0,13.9
13,0.31,2022-03-23 13:00:00,0.0,15.6
14,0.3,2022-03-23 14:00:00,0.0,16.5
15,0.3,2022-03-23 15:00:00,0.0,16.5
16,0.27,2022-03-23 16:00:00,0.0,16.8
17,0.21,2022-03-23 17:00:00,0.0,16.2
18,0.13,2022-03-23 18:00:00,0.0,14.8
19,0.04,2022-03-23 19:00:00,0.0,12.2
20,0.02,2022-03-23 20:00:00,0.0,9.6
21,0.01,2022-03-23 21:00:00,0.0,8.0
22,0.01,2022-03-23 22:00:00,0.0,7.2
23,0.01,2022-03-23 23:00:00,0.0,6.5
24,0.01,2022-03-24 00:00:00,0.0,5.9
25,0.01,2022-03-24 01:00:00,0.0,5.1
26,0.0,2022-03-24 02:00:00,0.0,5.3
27,0.0,2022-03-24 03:00:00,0.0,5.8
28,0.0,2022-03-24 04:00:00,0.0,6.7
29,0.0,2022-03-24 05:00:00,0.0,5.5
30,0.0,2022-03-24 06:00:00,0.0,5.4
31,0.0,2022-03-24 07:00:00,0.0,5.2
32,0.0,2022-03-24 08:00:00,0.0,5.2
33,0.02,2022-03-24 09:00:00,0.0,7.9
34,0.1,2022-03-24 10:00:00,0.0,11.0
35,0.17,2022-03-24 11:00:00,0.0,14.0
36,0.24,2022-03-24 12:00:00,0.0,16.0
37,0.29,2022-03-24 13:00:00,0.0,17.4
38,0.31,2022-03-24 14:00:00,0.0,18.0
39,0.29,2022-03-24 15:00:00,0.0,18.5
40,0.26,2022-03-24 16:00:00,0.0,18.1
41,0.19,2022-03-24 17:00:00,0.0,17.9
42,0.14,2022-03-24 18:00:00,0.0,16.3
43,0.04,2022-03-24 19:00:00,0.0,13.4
44,0.01,2022-03-24 20:00:00,0.0,10.8
45,0.01,2022-03-24 21:00:00,0.0,9.3
