,etp,date,precip,temp
0,0.0,2022-03-24 00:00:00,0.0,3.7
1,0.0,2022-03-24 01:00:00,0.0,3.1
2,0.0,2022-03-24 02:00:00,0.0,2.8
3,0.0,2022-03-24 03:00:00,0.0,2.8
4,0.0,2022-03-24 04:00:00,0.0,3.2
5,0.0,2022-03-24 05:00:00,0.0,2.4
6,0.0,2022-03-24 06:00:00,0.0,2.2
7,0.0,2022-03-24 07:00:00,0.0,1.0
8,0.0,2022-03-24 08:00:00,0.0,2.0
9,0.02,2022-03-24 09:00:00,0.0,6.2
10,0.07,2022-03-24 10:00:00,0.0,11.2
11,0.15,2022-03-24 11:00:00,0.0,14.4
12,0.22,2022-03-24 12:00:00,0.0,16.0
13,0.26,2022-03-24 13:00:00,0.0,17.0
14,0.27,2022-03-24 14:00:00,0.0,17.7
15,0.26,2022-03-24 15:00:00,0.0,17.9
16,0.22,2022-03-24 16:00:00,0.0,17.8
17,0.18,2022-03-24 17:00:00,0.0,17.3
18,0.11,2022-03-24 18:00:00,0.0,16.1
19,0.04,2022-03-24 19:00:00,0.0,13.7
20,0.01,2022-03-24 20:00:00,0.0,11.4
21,0.01,2022-03-24 21:00:00,0.0,9.9
22,0.01,2022-03-24 22:00:00,0.0,8.7
23,0.01,2022-03-24 23:00:00,0.0,8.0
24,0.01,2022-03-25 00:00:00,0.0,7.5
25,0.01,2022-03-25 01:00:00,0.0,7.1
26,0.01,2022-03-25 02:00:00,0.0,6.5
27,0.0,2022-03-25 03:00:00,0.0,5.6
28,0.0,2022-03-25 04:00:00,0.0,4.6
29,0.0,2022-03-25 05:00:00,0.0,3.9
30,0.0,2022-03-25 06:00:00,0.0,3.0
31,0.0,2022-03-25 07:00:00,0.0,2.5
32,0.0,2022-03-25 08:00:00,0.0,3.7
33,0.02,2022-03-25 09:00:00,0.0,7.8
34,0.09,2022-03-25 10:00:00,0.0,11.4
35,0.16,2022-03-25 11:00:00,0.0,13.9
36,0.22,2022-03-25 12:00:00,0.0,15.6
37,0.26,2022-03-25 13:00:00,0.0,16.8
38,0.28,2022-03-25 14:00:00,0.0,17.3
39,0.27,2022-03-25 15:00:00,0.0,17.4
40,0.24,2022-03-25 16:00:00,0.0,17.3
41,0.19,2022-03-25 17:00:00,0.0,16.8
42,0.13,2022-03-25 18:00:00,0.0,15.3
43,0.06,2022-03-25 19:00:00,0.0,13.1
44,0.03,2022-03-25 20:00:00,0.0,11.2
45,0.02,2022-03-25 21:00:00,0.0,10.0
46,0.01,2022-03-25 22:00:00,0.0,9.1
47,0.01,2022-03-25 23:00:00,0.0,8.6
48,0.01,2022-03-26 00:00:00,0.0,7.9
49,0.01,2022-03-26 01:00:00,0.0,7.0
50,0.01,2022-03-26 02:00:00,0.0,6.5
51,0.01,2022-03-26 03:00:00,0.0,5.9
52,0.01,2022-03-26 04:00:00,0.0,5.6
53,0.01,2022-03-26 05:00:00,0.0,5.2
54,0.01,2022-03-26 06:00:00,0.0,5.0
55,0.01,2022-03-26 07:00:00,0.0,4.9
56,0.01,2022-03-26 08:00:00,0.0,6.3
57,0.04,2022-03-26 09:00:00,0.0,9.0
58,0.1,2022-03-26 10:00:00,0.0,11.5
59,0.14,2022-03-26 11:00:00,0.0,13.7
60,0.19,2022-03-26 12:00:00,0.0,15.5
61,0.24,2022-03-26 13:00:00,0.0,16.8
62,0.25,2022-03-26 14:00:00,0.0,17.4
63,0.24,2022-03-26 15:00:00,0.0,17.8
64,0.21,2022-03-26 16:00:00,0.0,17.8
65,0.17,2022-03-26 17:00:00,0.0,17.3
66,0.11,2022-03-26 18:00:00,0.0,16.5
67,0.05,2022-03-26 19:00:00,0.0,14.7
68,0.02,2022-03-26 20:00:00,0.0,12.3
69,0.02,2022-03-26 21:00:00,0.0,11.5
70,0.02,2022-03-26 22:00:00,0.0,10.6
71,0.02,2022-03-26 23:00:00,0.0,9.6
72,0.01,2022-03-27 00:00:00,0.0,8.6
73,0.01,2022-03-27 01:00:00,0.0,7.8
74,0.01,2022-03-27 02:00:00,0.0,7.2
75,0.0,2022-03-27 03:00:00,0.0,6.7
76,0.0,2022-03-27 04:00:00,0.0,6.1
77,0.0,2022-03-27 05:00:00,0.0,5.4
78,0.0,2022-03-27 06:00:00,0.0,4.8
79,0.0,2022-03-27 07:00:00,0.0,4.3
80,0.0,2022-03-27 08:00:00,0.0,5.2
81,0.02,2022-03-27 09:00:00,0.0,9.0
82,0.08,2022-03-27 10:00:00,0.0,12.5
83,0.15,2022-03-27 11:00:00,0.0,14.2
84,0.2,2022-03-27 12:00:00,0.0,15.8
85,0.22,2022-03-27 13:00:00,0.0,17.0
86,0.23,2022-03-27 14:00:00,0.0,17.8
87,0.22,2022-03-27 15:00:00,0.0,18.4
88,0.19,2022-03-27 16:00:00,0.0,18.4
89,0.15,2022-03-27 17:00:00,0.0,17.8
90,0.09,2022-03-27 18:00:00,0.0,16.8
91,0.06,2022-03-27 19:00:00,0.0,15.0
92,0.03,2022-03-27 20:00:00,0.0,13.3
93,0.01,2022-03-27 21:00:00,0.0,11.2
94,0.0,2022-03-27 22:00:00,0.0,8.9
95,0.0,2022-03-27 23:00:00,0.0,7.8
96,0.0,2022-03-28 00:00:00,0.0,6.9
97,0.0,2022-03-28 01:00:00,0.0,6.1
98,0.0,2022-03-28 02:00:00,0.0,5.7
99,0.0,2022-03-28 03:00:00,0.0,5.4
100,0.0,2022-03-28 04:00:00,0.0,5.2
101,0.0,2022-03-28 05:00:00,0.0,4.7
102,0.0,2022-03-28 06:00:00,0.0,4.2
103,0.0,2022-03-28 07:00:00,0.0,4.8
104,0.01,2022-03-28 08:00:00,0.0,7.1
105,0.04,2022-03-28 09:00:00,0.0,10.4
106,0.08,2022-03-28 10:00:00,0.0,14.3
107,0.15,2022-03-28 11:00:00,0.0,16.0
108,0.21,2022-03-28 12:00:00,0.0,17.2
109,0.23,2022-03-28 13:00:00,0.0,18.3
110,0.24,2022-03-28 14:00:00,0.0,18.7
111,0.23,2022-03-28 15:00:00,0.0,18.8
112,0.19,2022-03-28 16:00:00,0.0,18.4
113,0.15,2022-03-28 17:00:00,0.02,17.6
114,0.09,2022-03-28 18:00:00,0.02,16.6
115,0.06,2022-03-28 19:00:00,0.02,15.1
116,0.04,2022-03-28 20:00:00,0.04,14.2
117,0.02,2022-03-28 21:00:00,0.04,13.3
118,0.01,2022-03-28 22:00:00,0.04,12.1
119,0.01,2022-03-28 23:00:00,0.0,11.2
120,0.01,2022-03-29 00:00:00,0.0,10.3
121,0.01,2022-03-29 01:00:00,0.0,9.2
122,0.0,2022-03-29 02:00:00,0.0,8.5
123,0.0,2022-03-29 03:00:00,0.0,7.9
124,0.0,2022-03-29 04:00:00,0.0,7.2
125,0.0,2022-03-29 05:00:00,0.0,6.8
126,0.0,2022-03-29 06:00:00,0.0,6.6
127,0.0,2022-03-29 07:00:00,0.0,6.3
128,0.01,2022-03-29 08:00:00,0.0,8.8
129,0.03,2022-03-29 09:00:00,0.0,10.1
130,0.05,2022-03-29 10:00:00,0.0,11.7
131,0.08,2022-03-29 11:00:00,0.01,12.7
132,0.12,2022-03-29 12:00:00,0.01,13.6
133,0.13,2022-03-29 13:00:00,0.01,14.5
134,0.14,2022-03-29 14:00:00,0.0,15.0
135,0.14,2022-03-29 15:00:00,0.0,15.3
136,0.13,2022-03-29 16:00:00,0.0,15.1
137,0.11,2022-03-29 17:00:00,0.0,14.5
138,0.08,2022-03-29 18:00:00,0.0,13.6
139,0.06,2022-03-29 19:00:00,0.0,12.1
140,0.04,2022-03-29 20:00:00,0.0,10.9
141,0.02,2022-03-29 21:00:00,0.0,9.5
142,0.01,2022-03-29 22:00:00,0.0,7.9
143,0.01,2022-03-29 23:00:00,0.0,6.9
144,0.01,2022-03-30 00:00:00,0.0,6.0
145,0.01,2022-03-30 01:00:00,0.0,5.0
146,0.0,2022-03-30 02:00:00,0.0,4.2
147,0.0,2022-03-30 03:00:00,0.0,3.5
148,0.0,2022-03-30 04:00:00,0.0,2.7
149,0.0,2022-03-30 05:00:00,0.0,2.1
150,0.0,2022-03-30 06:00:00,0.0,1.6
151,0.01,2022-03-30 07:00:00,0.0,1.6
152,0.02,2022-03-30 08:00:00,0.0,2.6
153,0.03,2022-03-30 09:00:00,0.0,4.0
154,0.05,2022-03-30 10:00:00,0.0,5.9
155,0.08,2022-03-30 11:00:00,0.0,6.8
156,0.1,2022-03-30 12:00:00,0.0,7.6
157,0.11,2022-03-30 13:00:00,0.0,8.2
158,0.11,2022-03-30 14:00:00,0.0,8.3
159,0.11,2022-03-30 15:00:00,0.0,8.1
160,0.1,2022-03-30 16:00:00,0.0,7.5
161,0.08,2022-03-30 17:00:00,0.0,7.0
162,0.06,2022-03-30 18:00:00,0.0,6.2
163,0.05,2022-03-30 19:00:00,0.0,5.2
164,0.04,2022-03-30 20:00:00,0.0,4.3
165,0.03,2022-03-30 21:00:00,0.0,3.5
166,0.02,2022-03-30 22:00:00,0.0,2.3
167,0.02,2022-03-30 23:00:00,0.0,1.5
