,date,precip,etp,temp
0,2022-03-24 00:00:00,0.0,0.0,9.2
1,2022-03-24 01:00:00,0.0,0.0,8.8
2,2022-03-24 02:00:00,0.0,0.0,8.7
3,2022-03-24 03:00:00,0.0,0.0,8.3
4,2022-03-24 04:00:00,0.0,0.0,6.8
5,2022-03-24 05:00:00,0.0,0.01,6.3
6,2022-03-24 06:00:00,0.0,0.01,6.7
7,2022-03-24 07:00:00,0.0,0.0,5.4
8,2022-03-24 08:00:00,0.0,0.0,6.7
9,2022-03-24 09:00:00,0.0,0.02,9.1
10,2022-03-24 10:00:00,0.0,0.08,11.8
11,2022-03-24 11:00:00,0.0,0.15,14.7
12,2022-03-24 12:00:00,0.0,0.22,15.7
13,2022-03-24 13:00:00,0.0,0.25,16.5
14,2022-03-24 14:00:00,0.0,0.26,16.9
15,2022-03-24 15:00:00,0.0,0.25,16.9
16,2022-03-24 16:00:00,0.0,0.22,16.7
17,2022-03-24 17:00:00,0.0,0.17,16.2
18,2022-03-24 18:00:00,0.0,0.11,15.0
19,2022-03-24 19:00:00,0.0,0.04,12.5
20,2022-03-24 20:00:00,0.0,0.02,11.1
21,2022-03-24 21:00:00,0.0,0.02,10.4
22,2022-03-24 22:00:00,0.0,0.02,9.9
23,2022-03-24 23:00:00,0.0,0.02,9.4
24,2022-03-25 00:00:00,0.0,0.02,8.9
25,2022-03-25 01:00:00,0.0,0.02,8.6
26,2022-03-25 02:00:00,0.0,0.02,8.3
27,2022-03-25 03:00:00,0.0,0.02,8.0
28,2022-03-25 04:00:00,0.0,0.02,7.8
29,2022-03-25 05:00:00,0.0,0.02,7.6
30,2022-03-25 06:00:00,0.0,0.02,7.5
31,2022-03-25 07:00:00,0.0,0.02,7.2
32,2022-03-25 08:00:00,0.0,0.02,8.1
33,2022-03-25 09:00:00,0.0,0.04,10.9
34,2022-03-25 10:00:00,0.0,0.1,12.8
35,2022-03-25 11:00:00,0.0,0.17,14.2
36,2022-03-25 12:00:00,0.0,0.22,15.2
37,2022-03-25 13:00:00,0.0,0.25,15.9
38,2022-03-25 14:00:00,0.0,0.26,16.6
39,2022-03-25 15:00:00,0.0,0.24,17.1
40,2022-03-25 16:00:00,0.0,0.22,17.0
41,2022-03-25 17:00:00,0.0,0.18,16.4
42,2022-03-25 18:00:00,0.0,0.12,15.2
43,2022-03-25 19:00:00,0.0,0.05,12.6
44,2022-03-25 20:00:00,0.0,0.03,11.1
45,2022-03-25 21:00:00,0.0,0.03,10.5
46,2022-03-25 22:00:00,0.0,0.03,10.1
47,2022-03-25 23:00:00,0.0,0.03,9.7
48,2022-03-26 00:00:00,0.0,0.03,9.3
49,2022-03-26 01:00:00,0.0,0.02,9.1
50,2022-03-26 02:00:00,0.0,0.02,8.7
51,2022-03-26 03:00:00,0.0,0.02,8.7
52,2022-03-26 04:00:00,0.0,0.02,8.3
53,2022-03-26 05:00:00,0.0,0.03,8.3
54,2022-03-26 06:00:00,0.0,0.03,8.2
55,2022-03-26 07:00:00,0.0,0.03,8.1
56,2022-03-26 08:00:00,0.0,0.04,9.0
57,2022-03-26 09:00:00,0.0,0.08,10.6
58,2022-03-26 10:00:00,0.0,0.12,12.4
59,2022-03-26 11:00:00,0.0,0.19,13.5
60,2022-03-26 12:00:00,0.0,0.24,14.5
61,2022-03-26 13:00:00,0.0,0.27,15.3
62,2022-03-26 14:00:00,0.0,0.27,16.0
63,2022-03-26 15:00:00,0.0,0.26,16.4
64,2022-03-26 16:00:00,0.0,0.24,16.4
65,2022-03-26 17:00:00,0.0,0.19,16.2
66,2022-03-26 18:00:00,0.0,0.13,15.2
67,2022-03-26 19:00:00,0.0,0.05,13.4
68,2022-03-26 20:00:00,0.0,0.02,11.7
69,2022-03-26 21:00:00,0.0,0.01,11.1
70,2022-03-26 22:00:00,0.0,0.01,10.2
71,2022-03-26 23:00:00,0.0,0.01,9.9
72,2022-03-27 00:00:00,0.0,0.01,9.1
73,2022-03-27 01:00:00,0.0,0.01,8.3
74,2022-03-27 02:00:00,0.0,0.01,7.3
75,2022-03-27 03:00:00,0.0,0.0,6.1
76,2022-03-27 04:00:00,0.0,0.0,5.4
77,2022-03-27 05:00:00,0.0,0.0,4.2
78,2022-03-27 06:00:00,0.0,0.0,3.2
79,2022-03-27 07:00:00,0.0,0.0,2.7
80,2022-03-27 08:00:00,0.0,0.0,4.1
81,2022-03-27 09:00:00,0.0,0.03,8.4
82,2022-03-27 10:00:00,0.0,0.1,11.6
83,2022-03-27 11:00:00,0.0,0.18,13.4
84,2022-03-27 12:00:00,0.0,0.23,15.1
85,2022-03-27 13:00:00,0.0,0.26,16.4
86,2022-03-27 14:00:00,0.0,0.27,17.3
87,2022-03-27 15:00:00,0.0,0.26,17.9
88,2022-03-27 16:00:00,0.0,0.22,17.9
89,2022-03-27 17:00:00,0.0,0.17,17.2
90,2022-03-27 18:00:00,0.0,0.1,16.1
91,2022-03-27 19:00:00,0.0,0.06,14.1
92,2022-03-27 20:00:00,0.0,0.03,12.1
93,2022-03-27 21:00:00,0.0,0.0,9.9
94,2022-03-27 22:00:00,0.0,0.0,7.5
95,2022-03-27 23:00:00,0.0,0.0,6.9
96,2022-03-28 00:00:00,0.0,0.0,6.8
97,2022-03-28 01:00:00,0.0,0.0,6.8
98,2022-03-28 02:00:00,0.0,0.0,6.7
99,2022-03-28 03:00:00,0.0,0.0,6.7
100,2022-03-28 04:00:00,0.0,0.0,6.5
101,2022-03-28 05:00:00,0.0,0.0,5.8
102,2022-03-28 06:00:00,0.0,0.0,4.9
103,2022-03-28 07:00:00,0.0,0.0,4.9
104,2022-03-28 08:00:00,0.0,0.01,6.8
105,2022-03-28 09:00:00,0.0,0.04,9.6
106,2022-03-28 10:00:00,0.0,0.09,13.1
107,2022-03-28 11:00:00,0.0,0.16,14.9
108,2022-03-28 12:00:00,0.0,0.24,16.3
109,2022-03-28 13:00:00,0.0,0.26,17.6
110,2022-03-28 14:00:00,0.0,0.27,18.1
111,2022-03-28 15:00:00,0.0,0.25,18.1
112,2022-03-28 16:00:00,0.0,0.22,17.7
113,2022-03-28 17:00:00,0.0,0.17,16.9
114,2022-03-28 18:00:00,0.0,0.1,15.7
115,2022-03-28 19:00:00,0.0,0.07,13.9
116,2022-03-28 20:00:00,0.0,0.03,12.3
117,2022-03-28 21:00:00,0.0,0.01,10.5
118,2022-03-28 22:00:00,0.0,0.0,8.6
119,2022-03-28 23:00:00,0.0,0.0,7.9
120,2022-03-29 00:00:00,0.0,0.01,7.5
121,2022-03-29 01:00:00,0.0,0.01,7.3
122,2022-03-29 02:00:00,0.02,0.01,7.2
123,2022-03-29 03:00:00,0.02,0.01,7.3
124,2022-03-29 04:00:00,0.02,0.01,7.4
125,2022-03-29 05:00:00,0.0,0.0,7.2
126,2022-03-29 06:00:00,0.0,0.0,6.9
127,2022-03-29 07:00:00,0.0,0.0,6.6
